COM4
2018-12-10 18:37:29
183820181210001001001121212
000000000000000000000000000000000000000000000000000000000000
183907000700070007000700070007000700070001351224122412241224
122412241224122412240700070007000700070007000700070007000700
122412241224122412241224122412241224122407000700070007000700
070007000700070007001224122412241224122412241224122412241224
HH:MM:SS MO/DY/YEAR DAY Internal LED01 PIR01 LED02 PIR02 LED03 PIR03 LED04 PIR04 LED05 PIR05 LED06 PIR06 LED07 PIR07 LED08 PIR08 LED09 PIR09 LED10 PIR10
18:38:00 12/10/2018 001 18:38:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
18:39:00 12/10/2018 001 18:40:00 00001 00991 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
18:40:00 12/10/2018 001 18:42:00 00001 00991 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
18:41:00 12/10/2018 001 18:44:00 00001 00991 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
18:42:00 12/10/2018 001 18:46:00 00001 00991 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
18:43:00 12/10/2018 001 18:48:00 00001 00991 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
18:44:00 12/10/2018 001 18:50:00 00001 00991 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
18:45:00 12/10/2018 001 18:52:00 00001 00991 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
18:46:00 12/10/2018 001 18:54:00 00001 00991 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
18:47:00 12/10/2018 001 18:56:00 00001 00991 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
18:48:00 12/10/2018 001 18:58:00 00001 00991 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
18:49:00 12/10/2018 001 19:00:00 00001 00991 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
18:50:00 12/10/2018 001 19:02:00 00001 00991 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
18:51:00 12/10/2018 001 19:04:00 00001 00991 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
18:52:00 12/10/2018 001 19:06:00 00001 00991 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
18:53:00 12/10/2018 001 19:08:00 00001 00991 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
18:54:00 12/10/2018 001 19:10:00 00001 00991 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
18:55:00 12/10/2018 001 19:12:00 00001 00991 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
18:56:00 12/10/2018 001 19:14:00 00001 00991 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
18:57:00 12/10/2018 001 19:16:00 00001 00991 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
18:58:00 12/10/2018 001 19:18:00 00001 00991 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
18:59:00 12/10/2018 001 19:20:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:00:00 12/10/2018 001 19:22:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
